Employer,Sum
NOT EMPLOYED,134766
SELF EMPLOYED,28177
SELF-EMPLOYED,25908
,19916
MICROSOFT,9050
"QUILCEDA CREEK VINTNERS, INC",5000
AMAZON.COM,4150
NORTH STAR PARTNERS,3500
AMAZON,3302
VALVE CORPORATION,2950
MERRILLLYNCH/PRUDENTIALFINANCE,2700
THE COMMERCE COMPANY,2700
RECREATIONAL ENGINEERING LLC,2700
BOEING,2650
RETIRED,2600
US DEPT OF VA,2550
UNIV OF WASHINGTON,2500
INTENTIONAL SOFTWARE CORPORATION,2350
THE EVERETT CLINIC,2000
GOOGLE INC.,1800
SELF,1721
DAIO,1569
CHAMPION & ASSOCIATES,1500
FAA,1150
ELECTROIMPACT,1050
MERRILL LYNCH,1000
UW SCHOOL OF MEDICINE,1000
"THE SHERIDAN LAW FIRM, P.S.",1000
F5 NETWORKS,1000
STONE GARDENS CLIMBING GYMS,1000
BLOSSOM MGMT,1000
CRYSTAL COMMERCE INC.,1000
BLUE ORIGIN,1000
WASHINGTON STATE FERRIES,1000
RAINIER ANESTHESIA ASSOC,1000
RETIRED FROM HARRIS GROUP CONSULTING E,1000
VMWARE,1000
REALNETWORKS FOUNDATION,1000
INVENTIV HEALTH,1000
BERRY & BECKETT PLLP,1000
WASHINGTON EDUCATION ASSN,1000
GHP,1000
MINOR & JAMES MEDICAL,1000
SELF EMPLOYED SUTTON PHOTOGRAPHY,1000
LAW OFFICE OF MICHAEL WITHEY,1000
BURKE MUSEUM,1000
WA FOREST LAW CENTER,1000
TESLA MOTORS,1000
CITY OF SEATTLE,950
VIRGINIA MASON MEDICAL CENTER,900
CORAM/CVS,900
US ARMY,750
EVERETT CLINIC,750
STRATOS,750
MINOR AND JAMES MEDICAL,750
EVERGREEN HOSPITAL,750
GOOGLE,750
PHILIPS ULTRASOUND,750
PACIFICAD,750
UNIVERSITY OF WASHINGTON,750
WIZARDS OF THE COAST,750
UW VALLEY MEDICAL CENTER,750
STATE OF WASHINGTON,700
EDEN ROCK COMMUNICATIONS,700
HOLADAY-PARKS,650
TOTAL RECALL INC,600
U.S.P.S,514
POSITIVE FUTURES NETWORK,500
ELECTRONIC ARTS,500
QUEST INTEGRITY GROUP,500
ALS LABORATORY GROUP,500
JASCO,500
PHILLIPS66,500
AMAXRA,500
CEDAR ROAD PUBLISHING INC.,500
PACIFIC PLUMBING SUPPLY,500
TEAM CORPORATION,500
USG,500
AMAZON WEB SERVICES,500
CIRCLE SYSTEMS INC.,500
LAW OFFICES OF MICHAEL DRYJA,500
EVERGREENHEALTH ORTHOPEDICS AND SPORTS,500
UNION PACIFIC,500
HUMANA,500
PATH,500
PREMIER GEAR & MACHINE WORKS,500
POINT 5 SOLUTIONS,500
US AIR FORCE,500
LIFFFT,500
ACXIOM,500
CITY OF TUKWILA,500
MICROSOFT CORP,500
GROUP HEALTH COOPERATIVE,500
CRAY INC,500
STATE OF WA,500
SEATTLE UNIVERSITY,500
PHYSIO-CONTROL,500
RE/MAX ON THE LAKE,500
TOTE INC.,500
MULTICARE,500
UNION,500
DELL SECUREWORKS,500
WELLS FARGO,500
COLDWELL BANKER,500
TABLEAU SOFTWARE,500
RECESS MONKEY,500
CONSUMER REPORTS,500
SEAFARERS UNION INTERNATIONAL,500
PLAUCHE & CARR LLP,500
DR. BRONNER'S,500
HEALTH ALLIANCE INTERNATIONAL,500
HR420 AND HR ORACLE,500
MACDONALD HOAGUE AND BAYLESS,500
MICOSOFT,500
ISSAQUAH SD,500
BANK OF AMERICA,500
ROBERT HALF,500
SEATTLE NTC,500
