Occupation,Sum
NOT EMPLOYED,112126
RETIRED,25909
ATTORNEY,17699
PHYSICIAN,15000
,13366
SOFTWARE ENGINEER,13069
SOFTWARE DEVELOPER,7202
ENGINEER,6649
TECHNOLOGY CONSULTANT,6000
PRESIDENT,5000
MANAGER,4350
PROGRAMMER,4020
SELF-EMPLOYED,3950
EXECUTIVE,3750
TEACHER,2958
AEROSPACE ENGINEER,2950
SELF EMPLOYED,2815
FINANCIAL CNSULTNT/SALES ASSOC,2700
FINANCIAL CONSULTANT,2700
CONSULTANT,2650
CEO,2182
RN,2150
PROFESSOR,2000
SOFTWARE,1750
HISTOTECHNOLOGIST,1750
WEB DEVELOPER,1700
BUSINESS OWNER,1529
PSYCHOLOGIST,1500
CHAMPION & ASSOCIATES,1500
MUSICIAN,1500
ENTREPRENEUR,1400
REALTOR,1400
HOMEMAKER,1300
STUDENT,1266
TECHNICIAN,1200
ARCHITECT,1166
COMPUTER PROGRAMMER,1096
FINANCIAL ADVISOR,1000
DESIGNER,1000
SCIENTIST,1000
DATA ANALYST,1000
DESIGN RESEARCHER,1000
RELIABILITY ENGINEER,1000
YOGA TEACHER,1000
FOUNDER AND CEO,1000
PHYSICIAN ASSOCIATE,1000
COUNSELOR,1000
SEAMAN,1000
RETIRED ENGINEER,1000
FOUNDATION DIRECTOR,1000
PHARMACEUTICAL RESEARCH,1000
CLINICAL SOCIAL WORKER,1000
REPRESENTATIVE,1000
PROGRAM MANAGER,1000
MUSEUM ADMINISTRATOR,1000
ACUPUNCTURIST,1000
PRODUCT MANAGER,1000
RETIERD,1000
GRAPHIC DESIGNER,950
SHEET METAL WORKER,900
REGISTERED NURSE,900
ARTIST,900
ACCOUNTANT,850
ILLUSTRATOR,800
PROPERTY MANAGER,800
ELECTRICAL ENGINEER,750
CHEMIST,750
LAWYER,750
PRESIDENT & CEO,750
PSYCHIATRIST,750
LETTER CARRIER,714
NURSE,700
CPA,700
PHOTOGRAPHER,700
LONGSHOREMAN,690
MARKETING,650
CTO,650
ACCOUNT MANAGER,600
EDUCATIONAL SOFTWARE,600
CERTIFIED PUBLIC ACCOUNTANT,521
COSTUMER,500
WRITER & PHOTOGRAPHER,500
SOFTWARE CONSULTANT,500
INSPECTOR,500
BOOKSELLER,500
EVENT PRODUCTION AND RENTALS,500
WRITER,500
EXECUTIVE DIRECTOR,500
CANINE BEHAVIOURIST,500
VIBRATION TECHNICIAN,500
PUBLISHER,500
COMPUTERS,500
PSYCHOTHERAPIST,500
MD,500
RAILROAD CONDUCTOR,500
CLINICAL RESEARCH DIRECTOR,500
STAFF,500
SENIOR SOFTWARE ENGINEER,500
REAL ESTATE SALES,500
PILOT,500
PLANNER,500
REAL ESTATE BROKER,500
HEALTH CARE,500
TECHNOLOGY EXECUTIVE,500
PROFESOR,500
LAND SURVEYOR,500
REAL ESTATE,500
DIRECTOR OF SECURITY STRATEGY,500
ARBITRATOR,500
TECHNOLOGY MANAGER,500
BROKER,500
WEBSITE MANAGER,500
DATA CENTER TECH,500
MERCHANT MARINE,500
DEVELOPER,500
PUBLIC HEALTH CONSULTANT,500
EXECUTIVE PRODUCER,500
MARKETING CAMPAIGN COORDINATOR,500
ADVISOR,500
FOUNDER,500
BANKER,500
COMMERCIAL FISHERMAN,500
CLINICIAN,500
QA/QC AND CUSTOMER SUPPORT,500
MEDICAL MARIJUANA,500
