CmteName,Sum
HILLARY FOR AMERICA,860582
BERNIE 2016,384694
"JEB 2016, INC.",225750
CARSON AMERICA,180917
CRUZ FOR PRESIDENT,148723
MARCO RUBIO FOR PRESIDENT,148150
"RAND PAUL FOR PRESIDENT, INC.",80978
CARLY FOR PRESIDENT,70728
SCOTT WALKER INC,49608
"DONALD J. TRUMP FOR PRESIDENT, INC.",19084
KASICH FOR AMERICA,16250
WEBB 2016,13900
LINDSEY GRAHAM 2016,11450
O'MALLEY FOR PRESIDENT,7000
PERRY FOR PRESIDENT INC,6900
JILL STEIN FOR PRESIDENT,5100
JINDAL FOR PRESIDENT,4750
"HUCKABEE FOR PRESIDENT, INC.",3950
CHRIS CHRISTIE FOR PRESIDENT INC,3200
GILMORE FOR AMERICA LLC,2700
SANTORUM FOR PRESIDENT 2016,2000
