Zip5,Sum
98004,967854
99163,895368
98101,473987
98040,468684
98112,423031
98039,339659
98119,332749
98177,285893
98105,272272
98033,256558
98104,214355
98102,213880
98110,213128
98052,211717
98404,201718
98005,189736
98083,188615
98006,182110
98108,169174
98077,168241
98115,165056
98070,161003
98116,156883
98121,152500
98122,147105
98109,146212
98065,145772
98199,141015
98103,126536
98144,126056
98117,122679
98020,116597
98009,111687
98607,109639
98027,106994
98225,105439
98502,94970
98661,94877
98092,93695
98136,91060
98107,89908
98660,86546
98466,81466
99223,77353
98501,74440
99362,72397
98075,65121
98506,61320
98118,59889
98683,59795
98382,59226
98029,59074
98034,59025
98198,57672
98908,56891
98664,53400
98226,50717
98026,50081
98685,49916
98335,48753
98682,48280
98401,48250
98499,47250
98671,46832
99352,46059
98392,45650
98332,44873
98155,44388
98053,44007
98407,43239
98513,42622
98346,40880
99201,39478
98629,39230
99210,38028
98642,37364
98858,37350
98662,37305
98008,36945
98056,36249
98271,36217
98133,35808
99203,35514
98072,35387
98230,35169
98403,34701
99155,33755
98250,33305
98223,32563
98074,32118
98221,31159
98146,31045
99336,30259
98126,29865
98166,28642
99301,28583
98125,28328
98926,26580
99208,26508
98512,26495
98312,26315
98273,26045
98124,25992
98402,25766
98058,25745
98257,25620
98362,25232
98406,25154
98188,25104
98032,25101
98204,24580
98028,24370
98003,24241
98632,24070
98277,22745
98826,22725
98665,22527
98532,22320
98012,22010
98584,21794
98059,21774
98674,21550
98203,21352
98272,21118
98684,20750
98001,20480
98371,20220
98368,20072
98503,19872
98021,19712
98208,19474
99350,19302
98111,19200
99206,19098
98275,18620
98022,18577
99302,18450
99354,18441
98290,18358
98902,18305
98370,17665
98837,17462
99016,17165
98464,16925
98011,16890
98520,16675
98391,16523
99337,16402
98007,15744
98057,15740
98516,15315
98508,15250
98363,15179
98296,15114
98264,15026
98801,14707
99114,14700
98409,14677
99218,14570
98134,14350
98372,14320
98229,14301
98415,14225
98178,14065
98239,14050
98373,14050
98292,13945
98291,13900
98686,13774
98467,13565
98357,13535
98201,13070
98568,13000
98024,12533
99338,12479
98383,12420
99224,12295
98942,12200
99220,12050
98596,11925
98498,11865
98802,11865
98023,11821
99212,11811
98042,11735
98168,11691
99403,11606
98388,11400
98019,11208
98260,11126
99353,11048
98390,11040
98666,10960
98248,10820
98036,10809
99019,10765
98374,10760
98270,10739
98672,10550
99202,10320
98422,10114
98366,10002
98055,9950
98227,9813
98938,9800
98038,9732
99361,9620
98901,9595
98310,9570
98606,9540
98365,9525
99204,9503
98604,9503
98274,9207
98030,8768
98424,8615
99021,8610
98037,8410
98087,8383
98014,8200
98045,8200
98002,8102
98350,7900
98367,7830
98329,7700
98043,7672
98663,7557
98046,7475
98626,7390
98245,7319
98145,7250
98106,7221
99216,6900
98935,6900
98507,6778
98948,6734
99004,6695
99040,6650
98903,6595
99180,6500
98282,6492
98342,6350
98284,6348
98597,6285
98624,6250
98236,6200
98421,6000
98668,5952
99344,5900
98531,5795
98640,5775
98812,5745
99205,5737
98550,5700
98592,5625
99001,5570
99219,5550
98321,5550
99022,5500
98816,5413
99005,5410
98587,5400
98249,5387
98528,5300
98930,5200
98569,5095
98073,5023
98114,5000
98612,4999
98050,4950
98465,4937
98035,4882
98936,4800
98524,4675
98311,4673
98233,4520
98195,4500
98261,4250
98154,4120
98922,4100
98848,4100
98254,4000
98631,3950
98240,3915
98625,3884
98266,3700
98807,3700
98258,3670
98252,3520
98015,3500
98031,3478
99324,3326
98944,3275
98907,3250
98862,3235
98856,3200
98333,3175
98354,3150
98445,3150
98490,3050
98041,3000
98687,3000
98139,3000
98281,3000
98328,2982
98062,2950
98327,2880
98338,2825
99320,2800
98232,2789
98857,2750
99347,2750
98588,2700
98138,2700
99006,2695
98446,2650
99034,2600
98509,2550
98589,2550
98206,2539
98851,2539
98243,2500
96103,2500
98844,2461
98247,2453
99349,2450
98375,2400
98605,2300
,2295
99037,2227
99025,2216
98010,2200
98411,2200
99217,2189
98339,2150
98823,2100
98951,2100
98620,2001
99107,2000
98394,2000
98408,2000
