Zip5,CmteName,Sum
99163,NRCC,491600
99163,MCMORRIS RODGERS AMERICAN DREAM PROJECT; THE,300000
98004,AMERICANS FOR RESPONSIBLE SOLUTIONS-PAC,250000
98108,REPUBLICAN NATIONAL COMMITTEE,100000
98112,HILLARY FOR AMERICA,78600
98004,HILLARY FOR AMERICA,75050
98177,DSCC,71550
98083,REPUBLICAN NATIONAL COMMITTEE,66800
99163,NRSC,66800
98070,DSCC,66518
98404,DSCC,65030
98040,PEOPLE FOR PATTY MURRAY,53660
98052,RIGHT TO RISE USA,52500
98112,PEOPLE FOR PATTY MURRAY,52077
98105,DSCC,50600
98033,RIGHT TO RISE USA,50000
98005,"INTELLECTUAL VENTURES DCP, INC. PAC (INTELLECTUAL VENTURES PAC)",49523
98110,PEOPLE FOR PATTY MURRAY,48425
98004,MURRAY VICTORY FUND,45750
98119,HILLARY FOR AMERICA,44056
98144,HILLARY FOR AMERICA,43935
98119,PEOPLE FOR PATTY MURRAY,41000
98077,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,40000
98119,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,37650
98004,RIGHT TO RISE USA,37500
98102,HILLARY FOR AMERICA,35750
98004,DCCC,35055
98040,HILLARY FOR AMERICA,34600
98004,PEOPLE FOR PATTY MURRAY,34575
98004,"JEB 2016, INC.",34550
98466,DSCC,34375
98004,NRSC,33850
98039,DCCC,33437
98077,DCCC,33405
98065,DSCC,33400
98065,NRCC,33400
98083,NRCC,33400
98404,NRCC,33400
98092,DSCC,33400
98092,DCCC,33400
98198,NRCC,33400
98346,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,33400
98404,DCCC,32650
98009,REPUBLICAN NATIONAL COMMITTEE,32400
98108,RIGHT TO RISE USA,32259
98102,PEOPLE FOR PATTY MURRAY,31531
98101,PEOPLE FOR PATTY MURRAY,30269
98110,PEOPLE FOR DEREK KILMER,29150
98104,PEOPLE FOR PATTY MURRAY,28550
98039,MARCO RUBIO FOR PRESIDENT,28250
98112,"JEB 2016, INC.",28150
98040,MURRAY VICTORY FUND,28006
98004,ACTBLUE,27812
98177,WASHINGTON STATE DEMOCRATIC CENTRAL COMMITTEE,27800
98109,HILLARY FOR AMERICA,27100
98101,HILLARY FOR AMERICA,27010
98177,MURRAY VICTORY FUND,26750
98027,RITCHIE FOR CONGRESS,26626
99210,MCMORRIS RODGERS AMERICAN DREAM PROJECT; THE,26513
98101,RIGHT TO RISE USA,26500
98122,RIGHT TO RISE USA,26250
98660,RIGHT TO RISE USA,26250
98004,DELBENE FOR CONGRESS,25140
98101,BOEHNER FOR SPEAKER,25000
98052,MCCARTHY VICTORY FUND,25000
98033,"WE THE PEOPLE, NOT WASHINGTON",25000
98101,WASHINGTON STATE REPUBLICAN PARTY,24500
98006,PEOPLE FOR PATTY MURRAY,23800
98040,DELBENE FOR CONGRESS,23800
98119,ACTBLUE,23735
98501,DENNY HECK FOR CONGRESS,23600
98039,WASHINGTON STATE REPUBLICAN PARTY,23000
99223,CATHY MCMORRIS RODGERS FOR CONGRESS,22745
98105,MURRAY VICTORY FUND,22650
98662,AMERICAN SENIORS HOUSING ASSOCIATION (SENIORS HOUSING PAC),22500
99362,CATHY MCMORRIS RODGERS FOR CONGRESS,22099
98004,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,22048
98682,WASHINGTON STATE REPUBLICAN PARTY,21400
98607,WASHINGTON STATE REPUBLICAN PARTY,21250
98004,DSCC,21247
98105,PEOPLE FOR PATTY MURRAY,21100
98119,MURRAY VICTORY FUND,21050
98039,DELBENE FOR CONGRESS,20719
98040,WASHINGTON STATE DEMOCRATIC CENTRAL COMMITTEE,20600
98117,HILLARY FOR AMERICA,20563
98077,DSCC,20250
98119,DEMOCRATIC HOPE FUND,20000
99223,NRCC,20000
98077,DEMOCRATIC HOPE FUND,20000
98020,DEMOCRATIC HOPE FUND,20000
98506,DSCC,20000
98502,DENNY HECK FOR CONGRESS,19950
98110,ACTBLUE,19900
98040,ACTBLUE,19823
98121,HILLARY FOR AMERICA,19500
98144,PEOPLE FOR PATTY MURRAY,19500
98039,HILLARY FOR AMERICA,19400
98122,HILLARY FOR AMERICA,19235
98103,PEOPLE FOR PATTY MURRAY,19156
98112,RIGHT TO RISE USA,18750
98502,NATIONAL AUTOMOBILE DEALERS ASSOCIATION POLITICAL ACTION COMMITTEE,18750
98101,MURRAY VICTORY FUND,18450
98199,PEOPLE FOR PATTY MURRAY,18450
98382,PEOPLE FOR DEREK KILMER,17950
98177,HILLARY FOR AMERICA,17700
98199,HILLARY FOR AMERICA,17599
98110,HILLARY FOR AMERICA,17450
98101,NEW DEMOCRAT COALITION PAC,17400
98104,HILLARY FOR AMERICA,17200
98112,ACTBLUE,16945
98040,REPUBLICAN NATIONAL COMMITTEE,16941
98109,PEOPLE FOR PATTY MURRAY,16756
98004,KAMALA HARRIS FOR SENATE,16700
98027,WASHINGTON STATE DEMOCRATIC CENTRAL COMMITTEE,16700
98116,PEOPLE FOR PATTY MURRAY,16662
98040,WASHINGTON STATE REPUBLICAN PARTY,16610
99203,CATHY MCMORRIS RODGERS FOR CONGRESS,16440
98105,HILLARY FOR AMERICA,16400
98101,"JEB 2016, INC.",16250
98052,NRCC,16100
98661,"JEB 2016, INC.",16000
98506,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,15950
98177,DCCC,15865
98004,KAINE FOR COMMON GROUND,15800
98052,HILLARY FOR AMERICA,15561
98112,MARCO RUBIO FOR PRESIDENT,15500
98006,"JEB 2016, INC.",15500
98136,HILLARY FOR AMERICA,15500
98039,MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE,15484
99201,POTLATCH EMPLOYEES POLITICAL FUND,15334
98070,ACTBLUE,15235
98112,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,15200
98532,JAIME FOR CONGRESS,15125
98004,CATHY MCMORRIS RODGERS FOR CONGRESS,15100
98121,WASHINGTON STATE REPUBLICAN PARTY,15000
98119,READY PAC,15000
98104,NRSC,15000
98392,DCCC,15000
98121,PEOPLE FOR PATTY MURRAY,14912
98629,JAIME FOR CONGRESS,14800
98033,PEOPLE FOR PATTY MURRAY,14750
98115,PEOPLE FOR PATTY MURRAY,14466
98117,PEOPLE FOR PATTY MURRAY,14356
98101,DSCC,14340
98116,ACTBLUE,14316
98115,HILLARY FOR AMERICA,14271
98144,MURRAY VICTORY FUND,14250
98177,PEOPLE FOR PATTY MURRAY,14242
98103,HILLARY FOR AMERICA,14050
98033,MURRAY VICTORY FUND,14000
98101,NRCC,13850
98009,RIGHT TO RISE USA,13750
98040,KAMALA HARRIS FOR SENATE,13750
98070,HILLARY FOR AMERICA,13750
98027,MURRAY VICTORY FUND,13750
98124,LEAGUE OF CONSERVATION VOTERS ACTION FUND,13750
98101,ACTBLUE,13580
98040,CRUZ FOR PRESIDENT,13550
98661,JAIME FOR CONGRESS,13546
98116,HILLARY FOR AMERICA,13500
99352,PEOPLE FOR PATTY MURRAY,13262
98122,BERNIE 2016,13250
98136,MURRAY VICTORY FUND,13250
98005,DELBENE FOR CONGRESS,13050
98225,DSCC,13016
98020,HILLARY FOR AMERICA,13014
98117,MURRAY VICTORY FUND,13000
98101,WYDEN FOR SENATE,12900
98683,JAIME FOR CONGRESS,12900
98020,PEOPLE FOR PATTY MURRAY,12800
98118,PEOPLE FOR PATTY MURRAY,12750
98004,CRUZ FOR PRESIDENT,12700
98115,EMILY'S LIST,12696
98004,FRIENDS OF DAVE REICHERT,12650
98112,GREEN DIAMOND RESOURCE COMPANY POLITICAL ACTION COMMITTEE,12500
98607,RIGHT TO RISE USA,12500
98404,WASHINGTON STATE DEMOCRATIC CENTRAL COMMITTEE,12500
98005,RIGHT TO RISE USA,12500
